settlement,district,county ,population,households,land km^2,density km^2,classification
Belfast City[c],Belfast,"County Antrim
County Down",291386,126925,78.57,3708.53,'Band A - Belfast' 
Derry Urban Area[d] ,Derry and Strabane ,County Londonderry ,94376,,,,
Derry City,Derry and Strabane,County Londonderry,84884,35554,33.95,2500.49,'Band B - Derry City' 
Craigavon Urban Area including Aghacommon[e],"Armagh, Banbridge and Craigavon",County Armagh,72721,29331,37.73,1927.54,Large town 
Metropolitan Newtownabbey[c],Antrim and Newtownabbey,County Antrim,67112,28410,28.23,2377.4,Large town 
Bangor,Ards and North Down,County Down,64122,27859,19.56,3278.23,Large town 
Metropolitan Castlereagh[c],"Belfast
Lisburn and Castlereagh",County Down,59198,25467,17.92,3303.66,Large town 
Lisburn City,Lisburn and Castlereagh,"County Antrim
County Down",51447,21321,19.52,2635.82,Large town 
Metropolitan Lisburn[c],"Belfast
Lisburn and Castlereagh",County Antrim,32368,12696,9.01,3593.08,Large town 
Ballymena,Mid and East Antrim,County Antrim,31308,13287,16.57,1888.93,Large town 
Lurgan[f][5],"Armagh, Banbridge and Craigavon",County Armagh,30886,,,,"Part of Craigavon Urban Area, a large town "
Portadown[f][5],"Armagh, Banbridge and Craigavon",County Armagh,29772,,,,"Part of Craigavon Urban Area, a large town "
Newtownards,Ards and North Down,County Down,29591,12984,11.34,2610.32,Large town 
Newry,"Newry, Mourne and Down","County Armagh
County Down",28026,11065,14.06,1992.79,Large town 
Carrickfergus,Mid and East Antrim,County Antrim,27886,12132,12.24,2277.95,Large town 
Antrim,Antrim and Newtownabbey,County Antrim,25464,10766,13.05,1951.88,Large town 
Coleraine,Causeway Coast and Glens,County Londonderry,24560,10622,12.42,1977.26,Large town 
Omagh Town,Fermanagh and Omagh,County Tyrone,20353,8721,16.4,1241.22,Large town 
Larne,Mid and East Antrim,County Antrim,18794,8624,9.22,2039.29,Large town 
Banbridge,"Armagh, Banbridge and Craigavon",County Down,17248,7313,6.95,2480.05,Medium town 
Armagh,"Armagh, Banbridge and Craigavon",County Armagh,16438,6543,10.29,1597.25,Medium town 
Dungannon,Mid Ulster,County Tyrone,16361,6018,9.63,1698.37,Medium town 
Enniskillen,Fermanagh and Omagh,County Fermanagh,14120,6222,12.9,1094.61,Medium town 
Craigavon[f][5],"Armagh, Banbridge and Craigavon",County Armagh,13948,,,,"Part of Craigavon Urban Area, a large town "
Strabane,Derry and Strabane,County Tyrone,13456,5535,5.87,2290.41,Medium town 
Cookstown,Mid Ulster,County Tyrone,12549,5009,7.07,1773.72,Medium town 
Limavady,Causeway Coast and Glens,County Londonderry,11697,5084,4.56,2567.12,Medium town 
Downpatrick,"Newry, Mourne and Down",County Down,11541,4597,6.66,1733.48,Medium town 
Ballymoney,Causeway Coast and Glens,County Antrim,10903,4738,5.02,2172.57,Medium town 
Ballyclare,Antrim and Newtownabbey,County Antrim,10848,4612,4.95,2190.06,Medium town 
